messageId;content
457286994363580_457605150998431;"Bitte teilen!

Hochwasser: Freiwilllige Helfer gesuch Deich in Gerwisch wird erhöht
Am Montag, dem 3. Juni wurde beschlossen, den Gerwischer Deich ab dem Schöpfwerk in einer Länge von 800 Metern um 30 Zentimeter zu erhöhen. ""Für die Befüllung von Sandsäcken werden deshalb dringend freiwillige Helfer gesucht"", sagt Ortswehrleiter Wolfgang Beckmann, ""wer Zeit hat, möge bitte kommen und uns unterstützen.
Natürlich wurden auch alle Ortswehren alarmiert, aber dennoch wird jede helfende Hand benötigt, denn es gilt 19000 (!) Sandsäcke zu füllen, wie Wolfgang Beckmann sagte.
Bereits am Wochenende hatten die Gerwischer Kameraden gut 1000 Säcke mit Sand befühlt. Jetzt werden sie hauptsächlich damit beschäftigt sein, den Deich fachgerecht zu erhöhen.
Also: Kommen Sie und helfen Sie mit, den Deich zu sichern. Treffpunkt ist 15 Uhr an der Gerwischer Kirche."
457286994363580_457609170998029;"+++ HELFER IN DESSAU GESUCHT +++ 

Wie das THW mitteilte, werden Helfer zum befüllen von Sandsäcken auf der alten Landebahn gesucht."
457286994363580_457610464331233;"+++ HELFER IN DESSAU GESUCHT +++ 



Wie das THW mitteilte, werden Helfer zum befüllen von Sandsäcken auf der alten Landebahn gesucht."
457286994363580_457616464330633;+++ Die Stadt Bad Dürrenberg sucht Freiwillige Helfer, wer möchte kann sich unter der Rufnummer : 03462-9987013 melden. +++
457286994363580_457627297662883;"Wo soll ich Helfen wo es dringend ist !!! 
"
457286994363580_457632360995710;Der Pegel in Trotha hat die historische Marke von 7 Metern überschritten und ist um 14:40 bei 7,03m angelangt. Die Feuerwehr sucht Helfer zum Sandsackbefüllen.
457286994363580_457633430995603;Wo wird Hilfe benötigt?
457286994363580_457634867662126;"Kann man irgendwie in Raum Zeitz noch weiter helfen? 
Sandsäcke haben wir schon fleißig befüllt. Aber man möchte weiter helfen! 
LG"
457286994363580_457638467661766;Ne Übersicht, wo direkt noch Hilfe benötigt wird, wäre schön!
457286994363580_457642944327985;"
Montag, 3.6. 15.02 Uhr: Bitterfelder Krankenhaus wird evakuiert

--------------------------------------------------------------------------------
Das Krankenhaus in Bitterfeld wird jetzt evakuiert. In Dessau-Roßlau rechnet Oberbürgermeister mit höheren Pegeln von Elbe und Mulde als im Jahr 2002. Bewohner der Vororte Sollnitz und Kleutsch sollen sich auf eventuelle Evakuierung vorbereiten. Nun wird auch versucht mit Bigpacks zu verhindern, dass das Muldewasser die A9 nahe Dessau-Süd (Möster Höhen) überflutet. Die ohnehin baufälluige Muldebrücke (Autobahnzubringer/ B 185) in Dessau könnte auch gesperrt werden. An unsanierten Deichen in der Wasserstadt, an der Muluferrandstraße und im Stadtteil Kreuzberg in Dessau drohen Überspülungen, deshalb werden dort Sandsäcke errichtet. 270 Helfer sind derzeit im Einsatz. Es wird Verstärkung benötigt. Treffpunkt: Alte Landebahn in Dessau am Flugplatz. 
Quelle: Radio SAW News-Ticker"
457286994363580_457645724327707;Würden uns gern im Bereich Zeitz und Wetterzeube zum Helfen anmelden...so richtig gibt es keinen Ansprechpartner...an wen muss man sich wenden. Krisenstab verwies nur an DRK - DRK hat es aufgenommen meldet sich aber nicht...sagt bitte wo Ihr im Bereich Zeitz, Wetterzeube Hilfe braucht, helfen gern...
457286994363580_457645830994363;Wohin kann man sich in Halle wenden, wenn man Hilfe zum Sandsäcketragen oder Sonstigen anbieten möchte?
457286994363580_457684334323846;+++ WICHTIG FÜR ALLE BEWOHNER IN- & UM BITTERFELD +++ Ab 17 Uhr Vollsperrung der Straße zwischen Löbnitz & Pouch +++ Auf der Halbinsel Pouch Befüllung von Sandsäcken für alle Betroffenen +++ FREIWILLIGE HELFER GESUCHT! - Treffpunkt: 17 Uhr - Halbinsel Pou
457286994363580_457687657656847;"+++ DU SUCHST HILFE / DU MÖCHTEST HELFEN?? +++

Der MDR bietet unter folgendem Link einen Austausch von Informationen an:"
457286994363580_457692760989670;Wo genau in Greppin wird Hilfe gebraucht?
457286994363580_457704497655163;Wo in Zeitz und Umgebung wird denn noch Hilfe benötigt?
457286994363580_457724847653128;"+++ Aktuelle Bilder von der Alten Landebahn in Dessau, wo derzeit hunderte Helfer von THW, Feuerwehr, Stadtpflege, DB Werk Dessau u.s.w. Sandsäcke im Akkordeon abfüllen. +++



Weitere Helfer werden benötigt!"
457286994363580_457731920985754;Werden in Dessau Deichläufer benötigt?
457286994363580_457746454317634;"+++ HELFER IN VOCKERODE BEI DESSAU GESUCHT +++

Hier müssen Vorbereitungen für die Rettung der A9 getroffen werden. Treffpunkt: Feuerwehr"
457286994363580_457749620983984;Es werden noch Helfer in Dessau gesucht vor allem in Waltersee (Wasserstadt)
